Unit_ID,X,LRR,var.LRR,scale,col,Study,ID.case,system,pr.st
80,4.346212176,2.295175157,0.133035874,1.336453828,darkblue,BBH152,80,freshwater,1.467751951
81,4.346212176,2.054897086,0.152931312,1.328401063,darkblue,BBH152,81,freshwater,1.467751951
141,3.218875825,2.381585896,0.02720813,1.428156207,darkgreen,DSG055,141,terrestrial,0.700500126
142,3.218875825,2.102357418,0.017935821,1.452233939,darkgreen,DSG055,142,terrestrial,0.700500126
143,3.218875825,1.871885392,0.016439024,1.457268974,darkgreen,DSG055,143,terrestrial,0.700500126
144,2.522558173,1.708042033,0.360899727,1.278790738,darkblue,DSG056,144,freshwater,0.226594543
145,2.522558173,0.901144747,0.201083182,1.312585031,darkblue,DSG056,145,freshwater,0.226594543
146,2.302585093,2.004592771,0.038423791,1.408212897,darkblue,DSG059,146,freshwater,0.076883459
147,2.302585093,0.869034515,0.210100347,1.310050431,darkblue,DSG059,147,freshwater,0.076883459
148,2.302585093,0.240391937,0.018741262,1.449695807,darkblue,DSG059,148,freshwater,0.076883459
149,2.302585093,0.036683912,0.039118295,1.407177865,darkblue,DSG059,149,freshwater,0.076883459
150,5.940247724,0.574537487,0.018314704,1.451026093,darkblue,EEC001,150,freshwater,2.552633747
151,2.812657446,1.141694399,0.01605211,1.458645155,darkblue,EEC002,151,freshwater,0.424032687
152,2.602689685,1.843667655,0.028593738,1.425286176,darkblue,EEC004,152,freshwater,0.281131105
153,2.602689685,1.167355383,0.166935353,1.323338534,darkblue,EEC005,153,freshwater,0.281131105
170,4.891483234,0.726990219,0.009566518,1.488550266,darkgreen,EEC031,170,terrestrial,1.838857003
171,4.43443361,0.775129323,0.042220082,1.402768941,darkgreen,EEC032,171,terrestrial,1.527794419
172,3.86899069,0.291197015,1.37E-06,2,darkgreen,EEC036,172,terrestrial,1.142960636
173,3.86899069,0.150282203,0.565980723,1.252792179,darkgreen,EEC036,173,terrestrial,1.142960636
178,5.07064799,-0.384845821,0.059229655,1.38320898,darkgreen,EEC048,178,terrestrial,1.960794423
179,3.428476085,1.077284466,0.047320783,1.396178955,darkgreen,EEC049,179,terrestrial,0.843151591
197,6.458333828,0.680131812,0.009757153,1.487410193,darkgreen,EEC078,197,terrestrial,2.90523704
207,3.320890089,1.832581464,0.047408333,1.396072152,darkblue,ETB015,207,freshwater,0.769929831
208,3.320890089,1.252762968,44.96598639,1,darkblue,ETB015,208,freshwater,0.769929831
211,0.693147181,-0.155414104,1.970066969,1.180725675,darkblue,ETB021,211,freshwater,-1.018481004
212,0.693147181,-1.589235205,0.148105477,1.330253723,darkblue,ETB021,212,freshwater,-1.018481004
213,2.815633808,-0.635988767,0.001410604,1.599155178,darkblue,ETB024,213,freshwater,0.426058364
214,2.815633808,-0.470003629,0.021666667,1.44131501,darkblue,ETB024,214,freshwater,0.426058364
215,2.815633808,1.778336449,0.076803804,1.368195967,darkblue,ETB025,215,freshwater,0.426058364
216,2.815633808,1.58240924,1.476313116,1.197396264,darkblue,ETB025,216,freshwater,0.426058364
221,-0.207435885,1.685275989,0.049185996,1.393945227,darkblue,ETB029,221,freshwater,-1.631407218
222,-0.207435885,2.658039781,1.832604245,1.184904853,darkblue,ETB029,222,freshwater,-1.631407218
227,1.059626842,0.402344981,0.01752345,1.453577891,darkblue,HLH020,227,freshwater,-0.769059269
228,1.059626842,0.838157029,0.006359196,1.512145617,darkblue,HLH020,228,freshwater,-0.769059269
239,4.308463557,2.137505343,0.1482752,1.330187548,darkblue,HLH027,239,freshwater,1.442060687
240,4.308463557,2.219203484,0.147353686,1.330547763,darkblue,HLH027,240,freshwater,1.442060687
241,3.184878125,1.777031662,0.208188659,1.310578571,darkblue,HLH028,241,freshwater,0.677361692
242,3.184878125,0.343018905,0.11250471,1.346139081,darkblue,HLH028,242,freshwater,0.677361692
245,1.814643763,3.097514968,18.38399626,1.051679681,darkblue,HLH039,245,freshwater,-0.255203656
246,1.814643763,0.393904286,0.059968503,1.382492677,darkblue,HLH039,246,freshwater,-0.255203656
253,0.69104413,-0.192499256,0.094109084,1.356455103,darkblue,HLH049,253,freshwater,-1.019912316
254,0.69104413,0.042473058,0.014109043,1.466100149,darkblue,HLH049,254,freshwater,-1.019912316
255,2.561446727,0.436329708,0.303473441,1.288804315,darkblue,HLH050,255,freshwater,0.253061634
256,2.561446727,-0.699144219,0.076112942,1.368718057,darkblue,HLH050,256,freshwater,0.253061634
257,0.809694886,0.454878268,0.085075447,1.362286008,darkblue,HLH051,257,freshwater,-0.93916001
258,0.809694886,-0.444638238,0.067271774,1.375852557,darkblue,HLH051,258,freshwater,-0.93916001
269,0.124060459,-0.548559305,0.046613591,1.397048969,darkblue,HLH057,269,freshwater,-1.405794716
270,0.124060459,0.41679876,0.018589215,1.450166483,darkblue,HLH057,270,freshwater,-1.405794716
271,0.70729395,0.509615768,0.032318311,1.418211267,darkblue,HLH058,271,freshwater,-1.00885288
272,0.70729395,0.76153399,0.042022136,1.403040473,darkblue,HLH058,272,freshwater,-1.00885288
273,2.686996792,0.441175381,0.085596615,1.361933133,darkblue,HLH059,273,freshwater,0.338509528
274,2.686996792,0.199713541,0.092458253,1.357477652,darkblue,HLH059,274,freshwater,0.338509528
275,0.403090461,0.200445108,0.020627608,1.444154573,darkcyan,HLH060,275,marine,-1.215890187
276,0.403090461,0.115569118,0.041181774,1.404207667,darkcyan,HLH060,276,marine,-1.215890187
277,0.403090461,0.295932675,0.260163598,1.297701436,darkcyan,HLH061,277,marine,-1.215890187
278,0.403090461,0.974729658,0.048552953,1.394693702,darkcyan,HLH061,278,marine,-1.215890187
279,0.084339704,0.098066832,0.014874505,1.463047485,darkcyan,HLH062,279,marine,-1.432828193
280,0.084339704,0.994350912,0.036916481,1.410525169,darkcyan,HLH062,280,marine,-1.432828193
281,0.373323737,0.746032834,0.10691762,1.349082176,darkcyan,HLH063,281,marine,-1.236149068
282,0.373323737,-0.648104236,0.136048693,1.335159906,darkcyan,HLH063,282,marine,-1.236149068
283,0.011079092,0.658791696,0.011214625,1.479366211,darkcyan,HLH064,283,marine,-1.482688502
284,0.011079092,1.181352415,0.055273593,1.387203123,darkcyan,HLH064,284,marine,-1.482688502
285,1.648155734,0.118795694,0.01491998,1.462871109,darkcyan,HLH092,285,marine,-0.368513445
286,1.648155734,0.156079321,0.019978164,1.446002976,darkcyan,HLH092,286,marine,-0.368513445
297,1.225416537,0.254669805,0.027122422,1.428338505,darkcyan,HLH138,297,marine,-0.656224757
298,1.225416537,0.159941084,0.030679251,1.421218552,darkcyan,HLH138,298,marine,-0.656224757
299,0.161641352,0.336472237,0.058064399,1.384357041,darkblue,HLH143,299,freshwater,-1.380217603
300,0.161641352,0.177681177,0.180498234,1.318825107,darkblue,HLH143,300,freshwater,-1.380217603
375,0.504081332,0.501394849,0.03085448,1.420889473,darkblue,HLH501,375,freshwater,-1.147156991
376,0.504081332,0.713089025,0.169982408,1.322293396,darkblue,HLH501,376,freshwater,-1.147156991
377,0.504081332,1.064769993,0.116497939,1.344123812,darkblue,HLH501,377,freshwater,-1.147156991
378,0.504081332,1.620380798,0.018969554,1.448996231,darkblue,HLH501,378,freshwater,-1.147156991
379,0.504081332,0.575871255,0.162923022,1.324744245,darkblue,HLH502,379,freshwater,-1.147156991
