,Unit_ID,ID.X,row.ID,Study,continent,taxon,metric,metric.specific,disturbance,matrix,distance.p.d,time,effect.direction,p.mean,p.sd,p.n,d.mean,d.sd,d.n,hedges.g,LRR,var.LRR,time.inv,dist.inv,X,study.ID,dist.inv,scale,col,row.ID,pr.st
57,57,526,1556,m6_5_90,SA,m,abu,"Mean number of captures per sampling period, closed canopy",sel,nat,1.7,1.666666667,p,0.2,0.014142136,2,0.13,0.042426407,2,1.264911057,-0.430782916,0.055754438,-0.510825624,-0.530628251,-0.510825624,90,-0.530628251,1.676663401,darkgreen,1556,1.126755289
73,73,542,1572,m6_5_90,SA,m,abu,"Mean number of captures per sampling period, gaps",sel,nat,1.7,1.666666667,p,1.19,0,2,1.11,0.113137085,2,0.571428571,-0.069593292,0.005194384,-0.510825624,-0.530628251,-0.510825624,90,-0.530628251,2,darkgreen,1572,1.126755289
58,58,527,1557,m6_5_90,SA,m,abu,"Mean number of captures per sampling period, closed canopy",sel,nat,1.7,1.666666667,p,0.5,0,2,0.47,0.155563492,2,0.155844156,-0.061875404,0.054775917,-0.510825624,-0.530628251,-0.510825624,90,-0.530628251,1.679075626,darkgreen,1557,1.126755289
67,67,536,1566,m6_5_90,SA,m,abu,"Mean number of captures per sampling period, closed canopy",sel,nat,1.7,1.666666667,p,0.05,0,2,0.05,0.014142136,2,0,0,0.040000002,-0.510825624,-0.530628251,-0.510825624,90,-0.530628251,1.721903883,darkgreen,1566,1.126755289
68,68,537,1567,m6_5_90,SA,m,abu,"Mean number of captures per sampling period, closed canopy",sel,nat,1.7,1.666666667,p,0.08,0,2,0.08,0.028284271,2,0,0,0.062499999,-0.510825624,-0.530628251,-0.510825624,90,-0.530628251,1.6611041,darkgreen,1567,1.126755289
53,53,522,1552,m6_5_90,SA,m,abu,"Mean number of captures per sampling period, closed canopy",sel,nat,1.7,1.666666667,p,0.23,0.014142136,2,0.25,0.084852814,2,-0.187884556,0.083381609,0.05949036,-0.510825624,-0.530628251,-0.510825624,90,-0.530628251,1.667827591,darkgreen,1552,1.126755289
55,55,524,1554,m6_5_90,SA,m,abu,"Mean number of captures per sampling period, closed canopy",sel,nat,1.7,1.666666667,p,0.14,0.014142136,2,0.16,0.056568542,2,-0.277183573,0.133531393,0.06760204,-0.510825624,-0.530628251,-0.510825624,90,-0.530628251,1.650413542,darkgreen,1554,1.126755289
70,70,539,1569,m6_5_90,SA,m,abu,"Mean number of captures per sampling period, gaps",sel,nat,1.7,1.666666667,p,0.13,0.014142136,2,0.17,0.014142136,2,-1.616244028,0.268263987,0.009377368,-0.510825624,-0.530628251,-0.510825624,90,-0.530628251,1.919523277,darkgreen,1569,1.126755289
71,71,540,1570,m6_5_90,SA,m,abu,"Mean number of captures per sampling period, gaps",sel,nat,1.7,1.666666667,p,0.06,0,2,0.08,0.014142136,2,-1.142857112,0.287682072,0.015625001,-0.510825624,-0.530628251,-0.510825624,90,-0.530628251,1.849965496,darkgreen,1570,1.126755289
66,66,535,1565,m6_5_90,SA,m,abu,"Mean number of captures per sampling period, closed canopy",sel,nat,1.7,1.666666667,p,0.77,0,2,1.13,0.395979797,2,-0.734693878,0.383582397,0.0613987,-0.510825624,-0.530628251,-0.510825624,90,-0.530628251,1.663526064,darkgreen,1565,1.126755289
54,54,523,1553,m6_5_90,SA,m,abu,"Mean number of captures per sampling period, closed canopy",sel,nat,1.7,1.666666667,p,0.11,0.014142136,2,0.17,0.056568542,2,-0.83155072,0.435318071,0.063627784,-0.510825624,-0.530628251,-0.510825624,90,-0.530628251,1.65866772,darkgreen,1553,1.126755289
64,64,533,1563,m6_5_90,SA,m,abu,"Mean number of captures per sampling period, closed canopy",sel,nat,1.7,1.666666667,p,1.35,0,2,2.16,0.763675324,2,-0.857142857,0.470003629,0.0625,-0.510825624,-0.530628251,-0.510825624,90,-0.530628251,1.661104098,darkgreen,1563,1.126755289
69,69,538,1568,m6_5_90,SA,m,abu,"Mean number of captures per sampling period, gaps",sel,nat,1.7,1.666666667,p,0.04,0,2,0.08,0.014142136,2,-2.285714225,0.693147181,0.015625001,-0.510825624,-0.530628251,-0.510825624,90,-0.530628251,1.849965496,darkgreen,1568,1.126755289
72,72,541,1571,m6_5_90,SA,m,abu,"Mean number of captures per sampling period, gaps",sel,nat,1.7,1.666666667,p,0.03,0,2,0.06,0.014142136,2,-1.714285669,0.693147181,0.027777779,-0.510825624,-0.530628251,-0.510825624,90,-0.530628251,1.77158093,darkgreen,1571,1.126755289
74,74,543,1573,m6_5_90,SA,m,abu,"Mean number of captures per sampling period, gaps",sel,nat,1.7,1.666666667,p,0.09,0,2,0.23,0.028284271,2,-4.000000035,0.938269639,0.007561437,-0.510825624,-0.530628251,-0.510825624,90,-0.530628251,1.948846152,darkgreen,1573,1.126755289
75,75,544,1574,m6_5_90,SA,m,abu,"Mean number of captures per sampling period, gaps",sel,nat,1.7,1.666666667,p,0.05,0,2,0.14,0.028284271,2,-2.571428594,1.029619417,0.020408163,-0.510825624,-0.530628251,-0.510825624,90,-0.530628251,1.813582285,darkgreen,1574,1.126755289
76,76,545,1575,m6_5_90,SA,m,abu,"Mean number of captures per sampling period, gaps",sel,nat,1.7,1.666666667,p,0.03,0,2,0.09,0.028284271,2,-1.714285729,1.098612289,0.049382715,-0.510825624,-0.530628251,-0.510825624,90,-0.530628251,1.693196375,darkgreen,1575,1.126755289
65,65,534,1564,m6_5_90,SA,m,abu,"Mean number of captures per sampling period, closed canopy",sel,nat,1.7,1.666666667,p,0.06,0,2,0.19,0.056568542,2,-1.857142873,1.15267951,0.044321329,-0.510825624,-0.530628251,-0.510825624,90,-0.530628251,1.707928039,darkgreen,1564,1.126755289
56,56,525,1555,m6_5_90,SA,m,abu,"Mean number of captures per sampling period, closed canopy",sel,nat,1.7,1.666666667,p,0.03,0,2,0.11,0.042426407,2,-1.523809519,1.299282984,0.074380166,-0.510825624,-0.530628251,-0.510825624,90,-0.530628251,1.637396158,darkgreen,1555,1.126755289
62,62,531,1561,m6_5_90,SA,m,abu,"Mean number of captures per sampling period, closed canopy",sel,nat,1.7,1.666666667,p,0.02,0,2,0.11,0.042426407,2,-1.714285709,1.704748092,0.074380166,-0.510825624,-0.530628251,-0.510825624,90,-0.530628251,1.637396158,darkgreen,1561,1.126755289
63,63,532,1562,m6_5_90,SA,m,abu,"Mean number of captures per sampling period, closed canopy",sel,nat,1.7,1.666666667,p,0.03,0,2,0.17,0.070710678,2,-1.600000003,1.734601055,0.08650519,-0.510825624,-0.530628251,-0.510825624,90,-0.530628251,1.616822661,darkgreen,1562,1.126755289
77,77,623,1666,m6_5_96,AS,m,abu,Mean densities per km,sel,nat,13,22,p,0.21,0.313049517,5,0.3,0.34,4,-0.246249617,0.356674944,0.765555556,-3.091042453,-2.564949357,-3.091042453,96,-2.564949357,1.319776864,darkgreen,1666,-1.046731709
78,78,663,1767,m6_5_113,AS,m,abu,total civet density/sq km,sel,nat,9,2,p,31.5,72.128,4,6.4,32.1666993,6,0.444819308,-1.593689555,5.520961583,-0.693147181,-2.197224577,-0.693147181,113,-2.197224577,1.0506172,darkgreen,1767,0.973173804
85,85,673,1803,m6_5_116,AS,m,abu,Mean biomass (kg/ha),sel,pla,1.5,14,p,0.02,0.028284271,2,0.005,0.007071068,2,0.41577536,-1.386294361,2.000000036,-2.63905733,-0.405465108,-2.63905733,116,-0.405465108,1.188950582,darkgreen,1803,-0.665994796
91,91,681,1811,m6_5_116,AS,m,abu,Mean population density (N/ha),sel,pla,1.5,14,p,0.7,0.424264069,2,0.4,0.565685425,2,0.342857143,-0.559615788,1.18367347,-2.63905733,-0.405465108,-2.63905733,116,-0.405465108,1.260409021,darkgreen,1811,-0.665994796
83,83,670,1800,m6_5_116,AS,m,abu,Mean biomass (kg/ha),sel,pla,1.5,14,p,0.105,0.091923882,2,0.08,0.113137085,2,0.138591785,-0.271933715,1.383219959,-2.63905733,-0.405465108,-2.63905733,116,-0.405465108,1.239184829,darkgreen,1800,-0.665994796
87,87,677,1807,m6_5_116,AS,m,abu,Mean population density (N/ha),sel,pla,1.5,14,p,2.3,0.282842712,2,1.8,0.424264069,2,0.792428852,-0.245122458,0.035339214,-2.63905733,-0.405465108,-2.63905733,116,-0.405465108,1.738781492,darkgreen,1807,-0.665994796
79,79,666,1796,m6_5_116,AS,m,abu,Mean biomass (kg/ha),sel,pla,1.5,14,p,0.25,0.014142136,2,0.23,0.056568542,2,0.277183573,-0.083381609,0.031845746,-2.63905733,-0.405465108,-2.63905733,116,-0.405465108,1.752962084,darkgreen,1796,-0.665994796
90,90,680,1810,m6_5_116,AS,m,abu,Mean population density (N/ha),sel,pla,1.5,14,p,0.5,0.707106781,2,0.6,0.282842712,2,-0.106111622,0.182321557,1.11111111,-2.63905733,-0.405465108,-2.63905733,116,-0.405465108,1.269027528,darkgreen,1810,-0.665994796
94,94,686,1816,m6_5_116,AS,m,abu,Mean population density (N/ha),sel,pla,1.5,14,p,4.6,0.424264069,2,5.55,1.202081528,2,-0.602245927,0.187741624,0.027709196,-2.63905733,-0.405465108,-2.63905733,116,-0.405465108,1.771917707,darkgreen,1816,-0.665994796
86,86,676,1806,m6_5_116,AS,m,abu,Mean biomass (kg/ha),sel,pla,1.5,14,p,0.52,0.056568542,2,0.82,0.296984848,2,-0.801909034,0.455475529,0.07150312,-2.63905733,-0.405465108,-2.63905733,116,-0.405465108,1.642770376,darkgreen,1806,-0.665994796
82,82,669,1799,m6_5_116,AS,m,abu,Mean biomass (kg/ha),sel,pla,1.5,14,p,0.015,0.021213203,2,0.025,0.021213203,2,-0.269374017,0.510825624,1.359999944,-2.63905733,-0.405465108,-2.63905733,116,-0.405465108,1.241491205,darkgreen,1799,-0.665994796
89,89,679,1809,m6_5_116,AS,m,abu,Mean population density (N/ha),sel,pla,1.5,14,p,0.4,0.282842712,2,0.7,0.141421356,2,-0.766651879,0.559615788,0.270408162,-2.63905733,-0.405465108,-2.63905733,116,-0.405465108,1.461552135,darkgreen,1809,-0.665994796
81,81,668,1798,m6_5_116,AS,m,abu,Mean biomass (kg/ha),sel,pla,1.5,14,p,0.02,0.014142136,2,0.04,0,2,-1.142857112,0.693147181,0.250000013,-2.63905733,-0.405465108,-2.63905733,116,-0.405465108,1.472242685,darkgreen,1798,-0.665994796
93,93,684,1814,m6_5_116,AS,m,abu,Mean population density (N/ha),sel,pla,1.5,14,p,0.1,0.141421356,2,0.2,0.282842712,2,-0.255550626,0.693147181,1.999999993,-2.63905733,-0.405465108,-2.63905733,116,-0.405465108,1.188950585,darkgreen,1814,-0.665994796
80,80,667,1797,m6_5_116,AS,m,abu,Mean biomass (kg/ha),sel,pla,1.5,14,p,0.07,0.042426407,2,0.16,0.070710678,2,-0.881992724,0.826678573,0.28132972,-2.63905733,-0.405465108,-2.63905733,116,-0.405465108,1.456157945,darkgreen,1797,-0.665994796
88,88,678,1808,m6_5_116,AS,m,abu,Mean population density (N/ha),sel,pla,1.5,14,p,0.4,0.282842712,2,0.95,0.494974747,2,-0.779646903,0.864997437,0.385734071,-2.63905733,-0.405465108,-2.63905733,116,-0.405465108,1.413159433,darkgreen,1808,-0.665994796
92,92,682,1812,m6_5_116,AS,m,abu,Mean population density (N/ha),sel,pla,1.5,14,p,0.1,0.141421356,2,0.5,0.707106781,2,-0.448265452,1.609437912,1.999999996,-2.63905733,-0.405465108,-2.63905733,116,-0.405465108,1.188950584,darkgreen,1812,-0.665994796
84,84,671,1801,m6_5_116,AS,m,abu,Mean biomass (kg/ha),sel,pla,1.5,14,p,0.02,0.028284271,2,0.16,0.22627417,2,-0.496138938,2.079441542,1.999999983,-2.63905733,-0.405465108,-2.63905733,116,-0.405465108,1.188950585,darkgreen,1801,-0.665994796
