Unit_ID,X.1,X,LRR,var.LRR,col,scale,Study,Sys1,pr.st
233,960,0.428571429,-0.529092527,0.024537257,darkgreen,1.011008345,m1_165,T,-1.255436007
234,961,0.857142857,-0.793830472,0.038265899,darkgreen,1.006905812,m1_165,T,0.743090064
235,962,0.857142857,-1.014078078,0.076896914,darkgreen,1.003222168,m1_165,T,0.743090064
236,963,0.714285714,-0.29817638,0.165973677,darkgreen,1.001263871,m1_165,T,0.076914705
237,964,0.428571429,-0.519888706,0.070010605,darkgreen,1.00358107,m1_165,T,-1.255436007
238,965,0.928571429,-1.205623168,0.061968215,darkgreen,1.004101204,m1_165,T,1.076177746
239,966,0.428571429,-0.028057601,0.23183873,darkgreen,1.000783593,m1_165,T,-1.255436007
240,967,0.928571429,-1.323743858,0.147421127,darkgreen,1.001476619,m1_165,T,1.076177746
241,968,0.857142857,-0.4197172,0.186948734,darkgreen,1.001074198,m1_165,T,0.743090064
242,969,0.714285714,-0.222660674,0.152235515,darkgreen,1.001416429,m1_165,T,0.076914705
243,978,0.833333333,0.057135051,0.090289007,darkgreen,1.002680957,m1_165,T,0.632060837
244,979,0.666666667,0.203913027,0.091151466,darkgreen,1.002651553,m1_165,T,-0.145143744
245,980,0.333333333,0.387096001,0.065784501,darkgreen,1.003838534,m1_165,T,-1.699552916
246,981,0.916666667,-0.555779077,0.347007723,darkgreen,1.00038192,m1_165,T,1.020663132
247,982,0.916666667,-0.660142415,0.019908533,darkgreen,1.013666978,m1_165,T,1.020663132
248,983,0.666666667,-0.200236584,0.026787377,darkgreen,1.010047813,m1_165,T,-0.145143744
249,984,0.333333333,0.134818332,0.003144711,darkgreen,1.08879733,m1_165,T,-1.699552916
250,985,0.833333333,-0.481762983,0.012653086,darkgreen,1.021748457,m1_165,T,0.632060837
251,986,0.333333333,-0.01761147,0.002430031,darkgreen,1.115038394,m1_165,T,-1.699552916
252,987,0.666666667,-0.197378889,0.006337661,darkgreen,1.043845771,m1_165,T,-0.145143744
253,988,0.833333333,-0.461048667,0.004064809,darkgreen,1.068600854,m1_165,T,0.632060837
254,989,0.916666667,-0.562167805,0.008447165,darkgreen,1.032789651,m1_165,T,1.020663132
255,990,0.272727273,0.1623369,0.030666886,darkgreen,1.008722741,m1_165,T,-1.982172762
256,991,0.818181818,0.084903794,0.01610755,darkgreen,1.016992727,m1_165,T,0.561405875
257,992,0.909090909,-0.054558748,0.018719508,darkgreen,1.014562177,m1_165,T,0.985335649
258,993,0.636363636,-0.012062541,0.019723403,darkgreen,1.013799265,m1_165,T,-0.286453672
259,994,0.909090909,-0.319129209,0.038376863,darkgreen,1.006884611,m1_165,T,0.985335649
260,995,0.818181818,0.156637993,0.02646923,darkgreen,1.010173711,m1_165,T,0.561405875
261,996,0.272727273,0.28678061,0.032673117,darkgreen,1.00816094,m1_165,T,-1.982172762
262,997,0.636363636,-0.041106336,0.020781672,darkgreen,1.013074836,m1_165,T,-0.286453672
263,998,0.909090909,-0.599388934,0.027031996,darkgreen,1.009953027,m1_165,T,0.985335649
264,999,0.272727273,0.191177529,0.013866595,darkgreen,1.019807843,m1_165,T,-1.982172762
