Unit_ID,X.1,X,LRR,var.LRR,Study,dist.inv,scale,col,row.ID,pr.st
104,706,-1.098612289,-0.683294884,1.105868167,m6_5_122,-2.197224577,1.269671893,darkgreen,1926,0.631623772
105,707,-1.098612289,1.69230739,0.331176427,m6_5_122,-2.197224577,1.43393481,darkgreen,1927,0.631623772
106,708,-1.098612289,0.108517582,0.082776988,m6_5_122,-2.197224577,1.622824387,darkgreen,1928,0.631623772
107,709,-1.098612289,3.185601036,1.355173607,m6_5_122,-2.197224577,1.241975531,darkgreen,1929,0.631623772
108,710,-1.098612289,-1.117480773,0.187395762,m6_5_122,-2.197224577,1.511510734,darkgreen,1930,0.631623772
109,711,-1.098612289,2.870461598,0.259793091,m6_5_122,-2.197224577,1.467007929,darkgreen,1931,0.631623772
110,712,-1.098612289,-2.74008369,0.148481697,m6_5_122,-2.197224577,1.543220868,darkgreen,1932,0.631623772
111,713,-1.098612289,-0.370584843,0.275354516,m6_5_122,-2.197224577,1.459082624,darkgreen,1933,0.631623772
112,714,-1.098612289,-1.431939869,0.327613627,m6_5_122,-2.197224577,1.435408366,darkgreen,1934,0.631623772
113,715,-3.33220451,1.685665278,0.110021906,m6_5_122,-2.48490665,1.584061609,darkgreen,1935,-1.249878433
114,716,-3.526360525,0.827297194,0.510712457,m6_5_122,-2.397895273,1.374924001,darkgreen,1936,-1.413428863
115,717,-2.302585093,0.869676417,0.077028847,m6_5_122,-2.48490665,1.632629214,darkgreen,1937,-0.382562015
116,718,-3.33220451,0.806475866,0.246729469,m6_5_122,-2.48490665,1.474036692,darkgreen,1938,-1.249878433
117,719,-3.526360525,0.901786046,0.312466103,m6_5_122,-2.397895273,1.441857574,darkgreen,1939,-1.413428863
118,720,-2.302585093,-0.339677368,0.902256858,m6_5_122,-2.48490665,1.297393848,darkgreen,1940,-0.382562015
119,721,-3.33220451,1.621860432,0.391268269,m6_5_122,-2.48490665,1.411218737,darkgreen,1941,-1.249878433
120,722,-3.526360525,-0.613104473,0.924556213,m6_5_122,-2.397895273,1.294067732,darkgreen,1942,-1.413428863
121,723,-3.33220451,1.017386849,0.04,m6_5_122,-2.48490665,1.72190389,darkgreen,1943,-1.249878433
122,724,-3.33220451,0.737598943,0.091693063,m6_5_122,-2.48490665,1.608888036,darkgreen,1944,-1.249878433
123,725,-3.526360525,1.677921212,0.073381339,m6_5_122,-2.397895273,1.639238004,darkgreen,1945,-1.413428863
124,726,-2.302585093,0.252484875,0.122057414,m6_5_122,-2.48490665,1.569918805,darkgreen,1946,-0.382562015
125,727,-3.33220451,0.258861634,3.121269513,m6_5_122,-2.48490665,1.12831352,darkgreen,1947,-1.249878433
126,728,-2.302585093,0.704446736,1.52579195,m6_5_122,-2.48490665,1.225820272,darkgreen,1948,-0.382562015
127,729,-3.33220451,-0.320072582,0.034928736,m6_5_122,-2.48490665,1.740373174,darkgreen,1949,-1.249878433
128,730,-3.526360525,-0.688843013,0.065562719,m6_5_122,-2.397895273,1.654586537,darkgreen,1950,-1.413428863
129,731,-2.302585093,-0.366686897,0.011897874,m6_5_122,-2.48490665,1.887091154,darkgreen,1951,-0.382562015
