Unit_ID,X,LRR,var.LRR,scale,col,Study,ID.case,system,pr.st
693,0.027060668,1.957744607,0.007239563,1.504653962,darkcyan,m2_2_JES045,693,marine,0.024176551
694,0.027060668,0.693147181,0.017006803,1.455307039,darkcyan,m2_2_JES046,694,marine,0.024176551
695,0.027060668,-0.631903555,40.16430414,1.006524932,darkcyan,m2_2_JES047,695,marine,0.024176551
696,0.027060668,0.451274644,0.004176104,1.536443332,darkcyan,m2_2_JES048,696,marine,0.024176551
697,0.027060668,0.434133003,0.010879364,1.481119879,darkcyan,m2_2_JES049,697,marine,0.024176551
698,1.11905422,3.803002931,0.007057213,1.50612796,darkcyan,m2_2_JES050,698,marine,1.142186459
699,1.11905422,0.52305285,0.006955197,1.506969296,darkcyan,m2_2_JES050,699,marine,1.142186459
700,0.983210231,0.15415068,0.07614672,1.36869242,darkcyan,m2_2_JES052,700,marine,1.003106036
701,0.983210231,0.026668247,0.009504596,1.488925475,darkcyan,m2_2_JES052,701,marine,1.003106036
702,0.538216703,0.397496938,0.048124526,1.395205808,darkcyan,m2_2_JES053,702,marine,0.547510696
720,0.125451731,0.677642994,0.032822876,1.417316159,darkcyan,m2_2_JES074,720,marine,0.124911746
721,0.125451731,0.658300449,0.068768055,1.374581485,darkcyan,m2_2_JES075,721,marine,0.124911746
722,0.125451731,0.269476108,0.01655351,1.456867973,darkcyan,m2_2_JES076,722,marine,0.124911746
723,0.125451731,0.342808055,0.120642662,1.342103867,darkcyan,m2_2_JES077,723,marine,0.124911746
724,0.125451731,-0.162518929,0.176505189,1.320117681,darkcyan,m2_2_JES078,724,marine,0.124911746
725,0.125451731,-0.727436254,0.054033445,1.388514264,darkcyan,m2_2_JES079,725,marine,0.124911746
726,0.125451731,0,0.061728395,1.380821424,darkcyan,m2_2_JES080,726,marine,0.124911746
727,0.125451731,0.459153613,0.389501768,1.274383979,darkcyan,m2_2_JES081,727,marine,0.124911746
1002,1.146358831,0.563935449,0.00509631,1.524937197,darkgreen,m2_2_JTN008,1002,terrestrial,1.170141594
1003,1.283283822,0.287682072,0.011976493,1.475568519,darkgreen,m2_2_JTN010,1003,terrestrial,1.310328774
1006,1.460168647,2.048278958,0.028306922,1.425868675,darkgreen,m2_2_JTN018,1006,terrestrial,1.491427816
1007,0.830569132,0.212858281,0.00025783,1.697350366,darkgreen,m2_2_JTN019,1007,terrestrial,0.846828317
1008,1.039769413,0.816761137,0.015647607,1.460119828,darkgreen,m2_2_JTN021,1008,terrestrial,1.06101272
1009,1.486771175,1.016934258,0.000240547,1.701359238,darkgreen,m2_2_JTN022,1009,terrestrial,1.518664139
1010,1.248969694,0.453867201,0.007448421,1.503010639,darkgreen,m2_2_JTN023,1010,terrestrial,1.275197123
1011,1.21991493,0.318453731,0.021758856,1.441069685,darkgreen,m2_2_JTN025,1011,terrestrial,1.24545014
1012,1.331083964,-0.764282434,0.025613768,1.431645281,darkgreen,m2_2_JTN027,1012,terrestrial,1.359267736
1013,1.331083964,-0.445929889,0.067453806,1.375696421,darkgreen,m2_2_JTN027,1013,terrestrial,1.359267736
1014,1.331083964,0.043439622,0.010678683,1.482195639,darkgreen,m2_2_JTN027,1014,terrestrial,1.359267736
1015,1.331083964,-0.429835219,0.047354713,1.39613754,darkgreen,m2_2_JTN027,1015,terrestrial,1.359267736
1016,1.928437042,0.575364145,0.044840389,1.399289833,darkgreen,m2_2_JTN028,1016,terrestrial,1.970852539
1018,1.257022778,0.316272269,0.030560185,1.421443231,darkgreen,m2_2_JTN030,1018,terrestrial,1.283442069
1019,1.257022778,0.106333593,0.021354375,1.442153877,darkgreen,m2_2_JTN030,1019,terrestrial,1.283442069
1020,-0.140278042,4.303748938,0.001506928,1.595338518,darkblue,m2_2_JTN037,1020,freshwater,-0.147148945
1022,0.88394536,0.897941593,0.01130149,1.47892039,darkgreen,m2_2_JTN044,1022,terrestrial,0.901476215
1024,1.486771175,0.607654868,0.000112338,1.745352774,darkgreen,m2_2_JTN050,1024,terrestrial,1.518664139
1025,1.21991493,0.167054085,0.036033198,1.411924445,darkgreen,m2_2_JTN051,1025,terrestrial,1.24545014
1026,1.21991493,0.194156014,0.003755594,1.542575631,darkgreen,m2_2_JTN052,1026,terrestrial,1.24545014
1029,1.857092023,0.934955162,0.017962665,1.452147528,darkgreen,m2_2_JTN075,1029,terrestrial,1.89780775
