Unit_ID,X.1,X,LRR,var.LRR,scale,col,row,Study,pr.st
99,320,1.945910149,0.14689112,0.015432666,1.415180746,darkgreen,320,Ogle et al. 2003,0.050193435
100,321,0,0.85763387,0.138197162,1.307161938,darkgreen,321,Ogle et al. 2003,-0.2868176
101,322,0,-0.630626824,0.06100326,1.347456174,darkgreen,322,Ogle et al. 2003,-0.2868176
102,353,0.58806075,-0.027897504,2.47E-06,1.845793376,darkgreen,353,Zhou et al. 2008,-0.184971704
103,354,0.58806075,0.115157219,0.003164799,1.493250748,darkgreen,354,Zhou et al. 2008,-0.184971704
104,355,0.58806075,1.658228077,70.43178382,1,darkgreen,355,Zhou et al. 2008,-0.184971704
105,356,0.58806075,-0.442736503,0.013161552,1.423024549,darkgreen,356,Zhou et al. 2008,-0.184971704
106,357,0.58806075,0.350656872,0.000159566,1.640452075,darkgreen,357,Zhou et al. 2008,-0.184971704
107,358,0.58806075,-0.730326184,0.008866226,1.442490381,darkgreen,358,Zhou et al. 2008,-0.184971704
108,359,0.58806075,-0.204462683,0.008637505,1.443778187,darkgreen,359,Zhou et al. 2008,-0.184971704
109,371,0.182321557,-0.327687407,1.08E-07,2,darkgreen,371,Dehlin et al. 2008,-0.255241436
110,372,0.843087328,-0.203124684,2.70E-07,1.954827025,darkgreen,372,Dehlin et al. 2008,-0.140803801
111,373,0.182321557,0.15415068,0.000584201,1.576504543,darkgreen,373,Dehlin et al. 2008,-0.255241436
112,374,0.843087328,0.020619287,0.000599976,1.575191652,darkgreen,374,Dehlin et al. 2008,-0.140803801
113,375,0.182321557,1.150572028,0.046814811,1.360500437,darkgreen,375,Dehlin et al. 2008,-0.255241436
114,376,0.843087328,-0.467340512,0.039515763,1.368852425,darkgreen,376,Dehlin et al. 2008,-0.140803801
115,377,0.182321557,3.135494216,0.049539216,1.35771324,darkgreen,377,Dehlin et al. 2008,-0.255241436
116,378,0.843087328,0.405465108,0.011293889,1.430565388,darkgreen,378,Dehlin et al. 2008,-0.140803801
117,379,0.182321557,0,0.008163265,1.446560683,darkgreen,379,Dehlin et al. 2008,-0.255241436
118,380,0.843087328,0.251314428,0.006550768,1.457404073,darkgreen,380,Dehlin et al. 2008,-0.140803801
119,381,0.182321557,0.201090996,0.008847463,1.442594767,darkgreen,381,Dehlin et al. 2008,-0.255241436
120,382,0.843087328,-0.02992303,0.011155198,1.431174231,darkgreen,382,Dehlin et al. 2008,-0.140803801
121,385,-0.143100844,0.283362411,0.000438522,1.590638135,darkgreen,385,Shannon et al. 2012,-0.311601151
122,386,0.934309237,-0.064538521,0.000794917,1.561328432,darkgreen,386,Smith & Reynlods 2012,-0.125005132
