"X.1","Unit_ID","Entry","Study","Expt","Ygen","Yspec","Smax","Y.treatment","T_mean","T_sd","T_N","C_mean","C_sd","C_N","X","col","scale","Sys1","pr.st","RR","VRR","CVR","VCVR","VR","VVR","power_RR","power_CVR","power_VR","d20_power_RR","d20_power_CVR","d20_power_VR"
21,21,83,18,"33","SST","number nematodes 100g-1 soil",16,"Y2",1200.63,582.8,24,1988.58,601.03,6,0.875,"darkgreen",1.010777589,"T",0.826361984,-0.504574397156828,0.0250426096998517,0.395512751817931,0.146781740134634,-0.109061645338897,0.121739130434783,0.502448761544492,0.128288741930784,0.144869931448215,0.210519445673898,0.0763224252795383,0.0818224125855743
22,22,83,18,"33","SST","number nematodes 100g-1 soil",16,"Y4",1243.33,601.33,24,1988.58,601.03,6,0.75,"darkgreen",1.010809604,"T",0.243458546,-0.469627552167625,0.0249712589868788,0.391865701209523,0.146710389421661,-0.0777618509581022,0.121739130434783,0.503567951299265,0.128327815877756,0.144869931448215,0.210988091409572,0.0763353971314881,0.0818224125855743
28,28,86,19,"36","SST","g aboveground plant biomass m-2",6,"Y1",535.385,20.769,10,800.385,20.769,5,0.833333333,"darkgreen",1.983542279,"T",0.632060837,-0.40210674764681,0.000285154578592144,0.332662303202366,0.180840710134148,-0.0694444444444444,0.180555555555556,1,0.113211120314284,0.113313350807672,1,0.0713105767783889,0.0713446094589379
26,26,85,19,"35","SST","g aboveground plant biomass m-2",6,"Y1",459.45,33.8,10,628.5,27,5,0.833333333,"darkgreen",1.307805081,"T",0.632060837,-0.313305906083408,0.000910301356787712,0.468485398123607,0.181465856912343,0.1551794920402,0.180555555555556,1,0.112988143841838,0.113313350807672,0.999977764888961,0.0712363447592551,0.0713446094589379
27,27,85,19,"35","SST","g aboveground plant biomass m-2",6,"Y3",527,40.5,5,628.5,27,5,0.5,"darkgreen",1.180561195,"T",-0.92234833,-0.17613547948894,0.001550289893712,0.581600587597104,0.251550289893712,0.405465108108164,0.25,0.999999998589114,0.0951151913316237,0.0954005178303513,0.996213929485092,0.0652712433226473,0.0653667398278978
24,24,84,19,"34","SST","g aboveground plant biomass m-2",6,"Y1",256.75,27.05,10,304.05,27.05,5,0.833333333,"darkgreen",1.103765155,"T",0.632060837,-0.169089312757451,0.00269295280457987,0.0996448683130065,0.183248508360135,-0.0694444444444444,0.180555555555556,0.99997273254856,0.112360812781677,0.113313350807672,0.939836707702291,0.0710274764007197,0.0713446094589379
25,25,84,19,"34","SST","g aboveground plant biomass m-2",6,"Y3",283.8,33.75,5,304.05,27.05,5,0.5,"darkgreen",1.063176782,"T",-0.92234833,-0.0689223968401765,0.00441145444406354,0.290215808866225,0.254411454444064,0.221293412026048,0.25,0.996777018159666,0.0945978805843715,0.0954005178303513,0.78379388554182,0.065098078024271,0.0653667398278978
29,29,86,19,"36","SST","g aboveground plant biomass m-2",6,"Y3",769.231,20.769,5,800.385,20.769,5,0.5,"darkgreen",2,"T",-0.92234833,-0.0397015473896844,0.000280464324048668,0.0397015473896842,0.250280464324049,0,0.25,1,0.0953486329766616,0.0954005178303513,1,0.0653493751210606,0.0653667398278978
30,30,107,24,"42","SST","g aboveground plant biomass m-2",16,"Y1",293.568,130.89,80,401.2,78.108,10,0.9375,"darkgreen",1.044286856,"T",1.117813703,-0.312350757113074,0.00627514217783507,0.779389106906946,0.0681598116574413,0.467038349793872,0.0618846694796062,0.975436141359166,0.221969491881142,0.239722323640747,0.633690529318372,0.107470682664943,0.113441856507129
33,33,108,24,"42","SST","g aboveground plant biomass m-2",16,"Y1",321.41,156.79,40,372.5,54.56,5,0.9375,"darkgreen",1.02697443,"T",1.117813703,-0.14751947112344,0.0102398720280273,1.0909463007811,0.14806038484854,0.943426829657665,0.137820512820513,0.867475882513465,0.127595010385943,0.133518464161779,0.4372223041632,0.0760921072235439,0.0780580356432758
34,34,108,24,"42","SST","g aboveground plant biomass m-2",16,"Y4",326.75,34.907,10,372.5,54.56,5,0.75,"darkgreen",1.051227513,"T",0.243458546,-0.131041685315283,0.00543196472720823,-0.385016390502173,0.185987520282764,-0.516058075817455,0.180555555555556,0.988129949757636,0.111420775902038,0.113313350807672,0.696311280832688,0.0707144344253143,0.0713446094589379
31,31,107,24,"42","SST","g aboveground plant biomass m-2",16,"Y4",357.56,87.03,20,401.2,78.108,10,0.75,"darkgreen",1.041126312,"T",0.243458546,-0.115156875868129,0.00675243252846268,0.194077512209429,0.0886237775577024,0.0789206363413003,0.0818713450292398,0.966084951350337,0.18145229828756,0.192582245509808,0.602113544729712,0.0939553799367944,0.0976559600027415
32,32,107,24,"42","SST","g aboveground plant biomass m-2",16,"Y8",392.57,41.8,10,401.2,78.108,10,0.5,"darkgreen",1.05655605,"T",-0.92234833,-0.0217451908176643,0.00492401434267621,-0.603450954029876,0.116035125453787,-0.62519614484754,0.111111111111111,0.993313812695733,0.149665052019606,0.15420648167076,0.738353819246003,0.0834119132250405,0.0849172274068386
35,35,108,24,"42","SST","g aboveground plant biomass m-2",16,"Y8",373.002,69.68,5,372.5,54.56,5,0.5,"darkgreen",1.024469462,"T",-0.92234833,0.00134674374012115,0.0112701747132488,0.24326557526892,0.261270174713249,0.244612319009041,0.25,0.834135865315607,0.0934046608514255,0.0954005178303513,0.404291314051429,0.0646985307956846,0.0653667398278978
37,37,109,25,"43","SST","g aboveground plant biomass m-2",3,"Y2",30.098,13.747,30,29.489,12.016,20,0.333333333,"darkgreen",1.017965628,"T",-1.699552916,0.0204414119122243,0.0152555061419585,0.10506570139194,0.0588126749259875,0.125507113304165,0.043557168784029,0.711896543018177,0.249768473390705,0.319722385135765,0.314547054445393,0.116838480803579,0.1409586944225
36,36,109,25,"43","SST","g aboveground plant biomass m-2",3,"Y1",32.068,14.847,20,29.489,12.016,20,0.666666667,"darkgreen",1.014325758,"T",-0.145143744,0.0838413357284027,0.0190195031565638,0.127717393887677,0.0716510821039322,0.21155872961608,0.0526315789473684,0.616377981141904,0.213424197924888,0.27343078492487,0.262270874671877,0.104608836256853,0.124897805473347
42,42,138,28,"53","SST","g algae L-1",7,"Y1",0.089,0.05,42,0.546,0.186,6,0.857142857,"blue",1.010020991,"A",0.743090064,-1.81398260601277,0.0268561480883435,0.41245405967893,0.139051270039563,-1.40152854633384,0.11219512195122,0.475533620574211,0.132759572909112,0.153171990168229,0.199441144830626,0.0778062445710292,0.0845743310816734
39,39,135,28,"52","SST","g algae L-1",7,"Y1",0.082,0.026,14,0.501,0.226,2,0.857142857,"blue",1.002149257,"A",0.743090064,-1.80988685382061,0.10892571424885,-0.814090068968654,0.647387252710388,-2.62397692278927,0.538461538461538,0.15635551390626,0.067297259901658,0.0708351852380696,0.0856295688470854,0.055902573907459,0.0571015616055611
